,code,name,market,sector,nikkei225,stock
119,1870,矢作建設工業(株),東証1部,建設業,,0
120,1871,(株)ピーエス三菱,東証1部,建設業,,0
121,1873,(株)日本ハウスホールディングス,東証1部,建設業,,0
122,1878,大東建託(株),東証1部,建設業,,1
123,1879,新日本建設(株),東証1部,建設業,,0
124,1881,(株)ＮＩＰＰＯ,東証1部,建設業,,0
125,1882,東亜道路工業(株),東証1部,建設業,,0
126,1883,前田道路(株),東証1部,建設業,,0
127,1884,日本道路(株),東証1部,建設業,,0
128,1885,東亜建設工業(株),東証1部,建設業,,0
129,1887,日本国土開発(株),東証1部,建設業,,0
130,1888,若築建設(株),東証1部,建設業,,0
131,1890,東洋建設(株),東証1部,建設業,,0
133,1893,五洋建設(株),東証1部,建設業,,0
134,1897,金下建設(株),東証2部,建設業,,0
135,1898,世紀東急工業(株),東証1部,建設業,,0
136,1899,(株)福田組,東証1部,建設業,,0
137,1904,大成温調(株),東証JQS,建設業,,0
138,1905,(株)テノックス,東証JQS,建設業,,0
139,1906,(株)細田工務店,東証JQS,建設業,,0
140,1909,日本ドライケミカル(株),東証1部,機械,,0
141,1911,住友林業(株),東証1部,建設業,,0
142,1914,日本基礎技術(株),東証1部,建設業,,0
143,1921,(株)巴コーポレーション,東証1部,建設業,,0
144,1925,大和ハウス工業(株),東証1部,建設業,1.0,1
145,1926,ライト工業(株),東証1部,建設業,,0
146,1928,積水ハウス(株),東証1部,建設業,1.0,1
147,1929,日特建設(株),東証1部,建設業,,0
148,1930,北陸電気工事(株),東証1部,建設業,,0
149,1934,(株)ユアテック,東証1部,建設業,,0
150,1938,日本リーテック(株),東証2部,建設業,,0
151,1939,(株)四電工,東証1部,建設業,,0
152,1941,(株)中電工,東証1部,建設業,,0
153,1942,(株)関電工,東証1部,建設業,,0
154,1944,(株)きんでん,東証1部,建設業,,0
155,1945,(株)東京エネシス,東証1部,建設業,,0
156,1946,(株)トーエネック,東証1部,建設業,,0
157,1948,(株)弘電社,東証2部,建設業,,0
158,1949,住友電設(株),東証1部,建設業,,0
159,1950,日本電設工業(株),東証1部,建設業,,0
160,1951,(株)協和エクシオ,東証1部,建設業,,0
161,1952,新日本空調(株),東証1部,建設業,,0
162,1954,日本工営(株),東証1部,サービス業,,0
163,1959,(株)九電工,東証1部,建設業,,0
164,1960,(株)サンテック,東証2部,建設業,,0
165,1961,三機工業(株),東証1部,建設業,,0
166,1963,日揮ホールディングス(株),東証1部,建設業,1.0,0
167,1964,中外炉工業(株),東証1部,建設業,,0
168,1965,(株)テクノ菱和,東証2部,建設業,,0
169,1966,(株)高田工業所,東証2部,建設業,,0
170,1967,(株)ヤマト,東証1部,建設業,,0
171,1968,太平電業(株),東証1部,建設業,,0
172,1969,高砂熱学工業(株),東証1部,建設業,,0
173,1971,中央ビルト工業(株),東証2部,金属製品,,0
174,1972,三晃金属工業(株),東証1部,建設業,,0
175,1973,ＮＥＣネッツエスアイ(株),東証1部,情報・通信,,0
176,1975,(株)朝日工業社,東証1部,建設業,,0
177,1976,明星工業(株),東証1部,建設業,,0
178,1979,(株)大気社,東証1部,建設業,,0
179,1980,ダイダン(株),東証1部,建設業,,0
180,1981,(株)協和日成,東証JQS,建設業,,0
181,1982,日比谷総合設備(株),東証1部,建設業,,0
182,1992,神田通信機(株),東証JQS,建設業,,0
183,1994,高橋カーテンウォール工業(株),東証JQS,建設業,,0
184,1997,暁飯島工業(株),東証JQS,建設業,,0
186,2001,日本製粉(株),東証1部,食料品,,0
187,2002,(株)日清製粉グループ本社,東証1部,食料品,1.0,0
188,2003,日東富士製粉(株),東証1部,食料品,,0
189,2004,昭和産業(株),東証1部,食料品,,0
190,2009,鳥越製粉(株),東証1部,食料品,,0
191,2053,中部飼料(株),東証1部,食料品,,0
192,2055,日和産業(株),東証2部,食料品,,0
194,2060,フィード・ワン(株),東証1部,食料品,,0
195,2107,東洋精糖(株),東証1部,食料品,,0
196,2108,日本甜菜製糖(株),東証1部,食料品,,0
197,2109,三井製糖(株),東証1部,食料品,,0
198,2112,塩水港精糖(株),東証1部,食料品,,0
199,2114,フジ日本精糖(株),東証2部,食料品,,0
200,2117,日新製糖(株),東証1部,食料品,,0
201,2120,(株)ＬＩＦＵＬＬ,東証1部,サービス業,,0
202,2121,(株)ミクシィ,マザーズ,サービス業,,0
203,2122,(株)インタースペース,マザーズ,サービス業,,0
204,2124,ＪＡＣ　Ｒｅｃｒｕｉｔｍｅｎｔ,東証1部,サービス業,,0
205,2127,(株)日本Ｍ＆Ａセンター,東証1部,サービス業,,0
206,2130,(株)メンバーズ,東証1部,サービス業,,0
207,2134,燦キャピタルマネージメント(株),東証JQS,サービス業,,0
208,2136,(株)ヒップ,東証JQS,サービス業,,0
210,2138,クルーズ(株),東証JQS,情報・通信,,0
211,2139,(株)中広,東証1部,サービス業,,0
212,2146,ＵＴグループ(株),東証1部,サービス業,,0
213,2148,アイティメディア(株),東証1部,サービス業,,0
214,2150,(株)ケアネット,マザーズ,サービス業,,0
215,2151,(株)タケエイ,東証1部,サービス業,,0
216,2152,幼児活動研究会(株),東証JQS,サービス業,,0
217,2153,Ｅ・Ｊホールディングス(株),東証1部,サービス業,,0
218,2154,(株)ビーネックスグループ,東証1部,サービス業,,0
219,2156,セーラー広告(株),東証JQS,サービス業,,0
220,2157,(株)コシダカホールディングス,東証1部,サービス業,,0
221,2158,(株)ＦＲＯＮＴＥＯ,マザーズ,サービス業,,0
222,2159,(株)フルスピード,東証2部,サービス業,,0
223,2160,(株)ジーエヌアイグループ,マザーズ,医薬品,,0
224,2162,ｎｍｓホールディングス(株),東証JQS,サービス業,,0
225,2163,(株)アルトナー,東証1部,サービス業,,0
226,2164,(株)地域新聞社,東証JQG,サービス業,,0
227,2168,(株)パソナグループ,東証1部,サービス業,,0
228,2169,ＣＤＳ(株),東証1部,サービス業,,0
229,2170,(株)リンクアンドモチベーション,東証1部,サービス業,,0
231,2173,(株)博展,東証JQG,サービス業,,0
232,2174,ＧＣＡ(株),東証1部,サービス業,,0
233,2175,(株)エス・エム・エス,東証1部,サービス業,,0
234,2176,(株)イナリサーチ,東証JQS,サービス業,,0
235,2178,(株)トライステージ,マザーズ,サービス業,,0
236,2179,(株)成学社,東証JQS,サービス業,,0
237,2180,(株)サニーサイドアップグループ,東証1部,サービス業,,0
238,2181,パーソルホールディングス(株),東証1部,サービス業,,0
239,2183,(株)リニカル,東証1部,サービス業,,0
240,2185,(株)シイエム・シイ,東証JQS,サービス業,,0
241,2186,ソーバル(株),東証JQS,サービス業,,0
242,2191,テラ(株),東証JQS,サービス業,,0
243,2193,クックパッド(株),東証1部,サービス業,,0
244,2195,アミタホールディングス(株),東証JQG,サービス業,,0
245,2196,(株)エスクリ,東証1部,サービス業,,0
246,2198,アイ・ケイ・ケイ(株),東証1部,サービス業,,0
247,2201,森永製菓(株),東証1部,食料品,,0
248,2204,(株)中村屋,東証1部,食料品,,0
249,2206,江崎グリコ(株),東証1部,食料品,,0
250,2207,名糖産業(株),東証1部,食料品,,0
251,2208,(株)ブルボン,東証2部,食料品,,0
252,2209,井村屋グループ(株),東証1部,食料品,,0
253,2211,(株)不二家,東証1部,食料品,,0
254,2212,山崎製パン(株),東証1部,食料品,,0
255,2215,第一屋製パン(株),東証1部,食料品,,0
256,2216,カンロ(株),東証2部,食料品,,0
257,2217,モロゾフ(株),東証1部,食料品,,0
259,2220,亀田製菓(株),東証1部,食料品,,0
260,2221,岩塚製菓(株),東証JQS,食料品,,0
261,2222,寿スピリッツ(株),東証1部,食料品,,0
262,2224,(株)コモ,東証JQS,食料品,,0
263,2226,(株)湖池屋,東証JQS,食料品,,0
264,2229,カルビー(株),東証1部,食料品,,0
265,2264,森永乳業(株),東証1部,食料品,,0
266,2266,六甲バター(株),東証1部,食料品,,0
267,2267,(株)ヤクルト本社,東証1部,食料品,,0
268,2268,Ｂ−Ｒ　サーティワン　アイスクリーム(株),東証JQS,食料品,,0
269,2269,明治ホールディングス(株),東証1部,食料品,1.0,0
270,2270,雪印メグミルク(株),東証1部,食料品,,0
271,2281,プリマハム(株),東証1部,食料品,,0
272,2282,日本ハム(株),東証1部,食料品,1.0,0
273,2286,林兼産業(株),東証1部,食料品,,0
274,2288,丸大食品(株),東証1部,食料品,,0
275,2291,福留ハム(株),東証2部,食料品,,0
276,2292,Ｓ　ＦＯＯＤＳ(株),東証1部,食料品,,0
277,2293,滝沢ハム(株),東証JQS,食料品,,0
278,2294,(株)柿安本店,東証1部,食料品,,0
279,2296,伊藤ハム米久ホールディングス(株),東証1部,食料品,,0
280,2300,(株)きょくとう,東証JQS,サービス業,,0
281,2301,(株)学情,東証1部,サービス業,,0
282,2303,(株)ドーン,東証JQS,情報・通信,,0
283,2304,(株)ＣＳＳホールディングス,東証JQS,サービス業,,0
284,2305,(株)スタジオアリス,東証1部,サービス業,,0
286,2309,シミックホールディングス(株),東証1部,サービス業,,0
287,2311,(株)エプコ,東証1部,サービス業,,0
288,2315,(株)カイカ,東証JQS,情報・通信,,0
289,2317,(株)システナ,東証1部,情報・通信,,0
290,2321,(株)ソフトフロントホールディングス,東証JQG,情報・通信,,0
291,2323,(株)ｆｏｎｆｕｎ,東証JQS,情報・通信,,0
292,2325,(株)ＮＪＳ,東証1部,サービス業,,0
293,2326,デジタルアーツ(株),東証1部,情報・通信,,0
294,2327,日鉄ソリューションズ(株),東証1部,情報・通信,,0
295,2329,(株)東北新社,東証JQS,情報・通信,,0
296,2330,(株)フォーサイド,東証JQS,情報・通信,,0
297,2331,ＡＬＳＯＫ,東証1部,サービス業,,0
298,2332,(株)クエスト,東証JQS,情報・通信,,0
299,2334,(株)イオレ,マザーズ,サービス業,,0
300,2335,(株)キューブシステム,東証1部,情報・通信,,0
301,2337,いちご(株),東証1部,不動産業,,0
302,2338,(株)ビットワングループ,東証2部,情報・通信,,0
303,2340,(株)極楽湯ホールディングス,東証JQS,サービス業,,0
304,2341,(株)アルバイトタイムス,東証JQS,サービス業,,0
305,2342,(株)トランスジェニック,マザーズ,サービス業,,0
306,2344,平安レイサービス(株),東証JQS,サービス業,,0
307,2345,アイスタディ(株),東証2部,情報・通信,,0
308,2349,(株)エヌアイデイ,東証JQS,情報・通信,,0
309,2351,(株)ＡＳＪ,マザーズ,情報・通信,,0
310,2352,(株)エイジア,東証1部,情報・通信,,0
311,2353,日本駐車場開発(株),東証1部,不動産業,,0
312,2354,(株)ＹＥ　ＤＩＧＩＴＡＬ,東証2部,情報・通信,,0
313,2359,(株)コア,東証1部,情報・通信,,0
314,2362,(株)夢真ホールディングス,東証JQS,サービス業,,0
315,2370,(株)メディネット,マザーズ,サービス業,,0
316,2371,(株)カカクコム,東証1部,サービス業,,0
317,2372,(株)アイロムグループ,東証1部,サービス業,,0
318,2373,(株)ケア２１,東証JQS,サービス業,,0
319,2374,セントケア・ホールディング(株),東証1部,サービス業,,0
320,2375,ギグワークス(株),東証2部,サービス業,,0
321,2376,(株)サイネックス,東証1部,サービス業,,0
322,2378,(株)ルネサンス,東証1部,サービス業,,0
323,2379,ディップ(株),東証1部,サービス業,,0
324,2384,ＳＢＳホールディングス(株),東証1部,陸運業,,0
325,2385,(株)総医研ホールディングス,マザーズ,サービス業,,0
326,2388,(株)ウェッジホールディングス,東証JQG,その他金融業,,0
327,2389,(株)オプトホールディング,東証1部,サービス業,,0
328,2391,(株)プラネット,東証JQS,サービス業,,0
329,2393,(株)日本ケアサプライ,東証2部,サービス業,,2
330,2395,(株)新日本科学,東証1部,サービス業,,0
331,2397,(株)ＤＮＡチップ研究所,東証2部,サービス業,,0
333,2402,(株)アマナ,マザーズ,サービス業,,0
334,2404,(株)鉄人化計画,東証2部,サービス業,,0
335,2405,(株)フジコー,東証2部,サービス業,,0
336,2406,(株)アルテ　サロン　ホールディングス,東証JQS,サービス業,,0
337,2408,(株)ＫＧ情報,東証JQS,サービス業,,0
338,2410,(株)キャリアデザインセンター,東証1部,サービス業,,0
339,2411,ゲンダイエージェンシー(株),東証JQS,情報・通信,,0
340,2412,(株)ベネフィット・ワン,東証1部,サービス業,,0
341,2413,エムスリー(株),東証1部,サービス業,1.0,0
342,2415,ヒューマンホールディングス(株),東証JQS,サービス業,,0
343,2417,(株)ツヴァイ,東証2部,サービス業,,0
344,2418,(株)ツカダ・グローバルホールディング,東証1部,サービス業,,0
345,2424,(株)ブラス,東証1部,サービス業,,0
346,2425,(株)ケアサービス,東証JQG,サービス業,,0
347,2427,(株)アウトソーシング,東証1部,サービス業,,0
348,2428,ウェルネット(株),東証1部,サービス業,,0
349,2429,(株)ワールドホールディングス,東証1部,サービス業,,0
350,2432,(株)ディー・エヌ・エー,東証1部,サービス業,1.0,0
351,2433,(株)博報堂ＤＹホールディングス,東証1部,サービス業,,0
352,2435,(株)シダー,東証JQS,サービス業,,0
353,2436,共同ピーアール(株),東証JQS,サービス業,,0
354,2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ(株),東証JQS,サービス業,,0
355,2438,(株)アスカネット,マザーズ,サービス業,,0
356,2440,(株)ぐるなび,東証1部,サービス業,,0
357,2445,(株)タカミヤ,東証1部,サービス業,,0
358,2449,(株)プラップジャパン,東証JQS,サービス業,,0
359,2453,ジャパンベストレスキューシステム(株),東証1部,サービス業,,0
360,2454,(株)オールアバウト,東証JQS,サービス業,,0
361,2459,アウンコンサルティング(株),東証2部,サービス業,,0
362,2461,(株)ファンコミュニケーションズ,東証1部,サービス業,,0
363,2462,ライク(株),東証1部,サービス業,,0
364,2464,(株)ビジネス・ブレークスルー,東証1部,サービス業,,0
366,2468,(株)フュートレック,東証2部,サービス業,,0
367,2469,ヒビノ(株),東証JQS,サービス業,,0
368,2471,(株)エスプール,東証1部,サービス業,,0
369,2475,ＷＤＢホールディングス(株),東証1部,サービス業,,0
370,2477,手間いらず(株),マザーズ,サービス業,,0
371,2479,(株)ジェイテック,東証JQG,サービス業,,0
372,2480,システム・ロケーション(株),東証JQS,サービス業,,0
373,2481,(株)タウンニュース社,東証JQS,サービス業,,0
374,2483,(株)翻訳センター,東証JQS,サービス業,,0
375,2484,(株)出前館,東証JQS,情報・通信,,0
376,2485,(株)ティア,東証1部,サービス業,,0
377,2487,(株)ＣＤＧ,東証1部,サービス業,,0
378,2488,日本サード・パーティ(株),東証JQS,サービス業,,0
379,2489,(株)アドウェイズ,マザーズ,サービス業,,0
380,2491,バリューコマース(株),東証1部,サービス業,,0
381,2492,(株)インフォマート,東証1部,サービス業,,0
382,2493,イーサポートリンク(株),東証JQS,サービス業,,0
383,2497,ユナイテッド(株),マザーズ,サービス業,,0
384,2498,(株)オリエンタルコンサルタンツホールディングス,東証JQS,サービス業,,0
385,2499,日本和装ホールディングス(株),東証2部,サービス業,,0
386,2501,サッポロホールディングス(株),東証1部,食料品,1.0,0
387,2502,アサヒグループホールディングス(株),東証1部,食料品,1.0,0
388,2503,キリンホールディングス(株),東証1部,食料品,1.0,0
389,2531,宝ホールディングス(株),東証1部,食料品,1.0,0
390,2533,オエノンホールディングス(株),東証1部,食料品,,0
391,2540,養命酒製造(株),東証1部,食料品,,0
